id,title,episodes,year,original_channel,im_db,start_year,end_year,new_title
1,2 Stupid Dogs,26,1993-1995,TBS,7.2,1993,1995,2 Stupid Dogs
2,3-2-1 Penguins!,27,2000-2008,Direct to video,6.5,2000,2008,3-2-1 Penguins!
3,3-South,13,2002-2003,MTV,8,2002,2003,3-South
4,3Below: Tales of Arcadia,28,2018-2019,Netflix,7.6,2018,2019,3Below: Tales of Arcadia
5,3rd & Bird,51,2008-2010,Playhouse Disney,7.8,2008,2010,3rd & Bird
6,The 7D,44,2014-2016,Disney XD,5.7,2014,2016,The 7D
7,12 oz. Mouse,31,2005-2020,Adult Swim,6.5,2005,2020,12 oz. Mouse
8,The 13 Ghosts of Scooby-Doo,13,1985,ABC,7.3,1985,NA,The 13 Ghosts of Scooby-Doo
9,101 Dalmatians: The Series,65,1997-1998,ABCSyndication,6.1,1997,1998,101 Dalmatians: The Series
10,Aaahh!!! Real Monsters,52,1994-1997,Nickelodeon,7.2,1994,1997,Aaahh!!! Real Monsters
11,Abby's Flying Fairy School,26,2009-2012,PBS Kids,4.9,2009,2012,Abby's Flying Fairy School
12,ABC Galaxy,26,2015,BabyFirst,4.2,2015,NA,ABC Galaxy
13,The ABC Saturday Superstar Movie,20,1972-1973,ABC,7.8,1972,1973,The ABC Saturday Superstar Movie
14,The Abbott and Costello Cartoon Show,39,1967-1968,Syndication,7,1967,1968,The Abbott and Costello Cartoon Show
15,Abominable and the Invisible City,20,2022-2023,HuluPeacock,6.4,2022,2023,Abominable and the Invisible City
16,Action League Now!,12,2001-2002,Nickelodeon,8,2001,2002,Action League Now!
17,Action Man (1995),26,1995-1996,Syndication,5.8,1995,1996,Action Man
18,"Ada Twist, Scientist",41,2021-present,Netflix,6.5,2021,NA,"Ada Twist, Scientist"
19,The Addams Family (1973),16,1973,NBC,6.6,1973,NA,The Addams Family
20,The Addams Family (1992),21,1992-1993,ABC,7,1992,1993,The Addams Family
21,ADHD Shorts,6,2013-2015,Fox,4.2,2013,2015,ADHD Shorts
22,Adventure Time,283,2010-2018,Cartoon Network,8.6,2010,2018,Adventure Time
23,Adventure Time: Distant Lands,4,2020-2021,HBO Max,8.7,2020,2021,Adventure Time: Distant Lands
24,Adventure Time: Fionna and Cake,2,2023-present,Max,8.9,2023,NA,Adventure Time: Fionna and Cake
25,Adventures from the Book of Virtues,39,1996-2000,PBSPBS Kids,7,1996,2000,Adventures from the Book of Virtues
26,The Adventures of Batman,17,1968-1969,CBS,7.3,1968,1969,The Adventures of Batman
27,The Adventures of Chico and Guapo,5,2006,MTV2,5.9,2006,NA,The Adventures of Chico and Guapo
28,The Adventures of Edward the Less,13,2001,Sci-Fi Channel,6.4,2001,NA,The Adventures of Edward the Less
29,The Adventures of Gulliver,17,1968-1969,ABC,7,1968,1969,The Adventures of Gulliver
30,The Adventures of Hyperman,13,1995-1996,CBS,7,1995,1996,The Adventures of Hyperman
31,The Adventures of Jimmy Neutron: Boy Genius,61,2002-2006,Nickelodeon,6.7,2002,2006,The Adventures of Jimmy Neutron: Boy Genius
32,The Adventures of Kid Danger,13,2018,Nickelodeon,2.6,2018,NA,The Adventures of Kid Danger
33,Adventures in Nutrition with Captain Carlos,20,2004-2005,Playhouse Disney,5.2,2004,2005,Adventures in Nutrition with Captain Carlos
34,The Adventures of OG Sherlock Kush,20,2015-2016,FXX,7.5,2015,2016,The Adventures of OG Sherlock Kush
35,The Adventures of Paddy the Pelican,6,1950,ABC,1.6,1950,NA,The Adventures of Paddy the Pelican
36,Adventures of Pow Wow,45,1956-1957,Syndication,4.7,1956,1957,Adventures of Pow Wow
37,The Adventures of Puss in Boots,78,2015-2018,Netflix,6.5,2015,2018,The Adventures of Puss in Boots
38,The Adventures of Raggedy Ann and Andy,13,1988,CBS,7.2,1988,NA,The Adventures of Raggedy Ann and Andy
39,The Adventures of Rocky and Bullwinkle,26,2018-2019,Amazon Prime Video,4.3,2018,2019,The Adventures of Rocky and Bullwinkle
40,The Adventures of Rocky and Bullwinkle and Friends,163,1959-1964,ABCNBC,7.8,1959,1964,The Adventures of Rocky and Bullwinkle and Friends
41,Adventures of Sonic the Hedgehog,65,1992-1996,Syndication,6.3,1992,1996,Adventures of Sonic the Hedgehog
42,The Adventures of Spunky and Tadpole,150,1958-1961,Syndication,6.2,1958,1961,The Adventures of Spunky and Tadpole
43,The Adventures of Superboy,34,1966-1968,CBS,6,1966,1968,The Adventures of Superboy
44,Adventures of the Gummi Bears,65,1985-1991,NBC,7.5,1985,1991,Adventures of the Gummi Bears
45,AEon Flux,16,1991-1995,MTV,5.4,1991,1995,AEon Flux
46,Agent Elvis,10,2023,Netflix,6.8,2023,NA,Agent Elvis
47,Alabama Jackson,7,2022,YouTube,8.4,2022,NA,Alabama Jackson
48,Aladdin,86,1994-1995,CBS,5.8,1994,1995,Aladdin
49,ALF Tales,21,1988-1989,NBC,6.2,1988,1989,ALF Tales
50,ALF: The Animated Series,26,1987-1989,NBC,6,1987,1989,ALF: The Animated Series
51,Alice's Wonderland Bakery,34,2022-present,Disney Junior,6.3,2022,NA,Alice's Wonderland Bakery
52,Alien: Isolation - The Digital Series,7,2019,IGN,6.2,2019,NA,Alien: Isolation - The Digital Series
53,Alien News Desk,12,2019,Syfy,6.5,2019,NA,Alien News Desk
54,All Dogs Go to Heaven: The Series,40,1996-1998,Fox Family Channel,6.5,1996,1998,All Dogs Go to Heaven: The Series
55,All Grown Up!,55,2003-2008,Nickelodeon,5.5,2003,2008,All Grown Up!
56,All Hail King Julien,78,2014-2017,Netflix,7.1,2014,2017,All Hail King Julien
57,The All New Popeye Hour,336,1978-1983,CBS,7,1978,1983,The All New Popeye Hour
58,The All-New Dennis the Menace,13,1993,CBS,6.6,1993,NA,The All-New Dennis the Menace
59,The All-New Super Friends Hour,15,1977-1978,ANC,7.2,1977,1978,The All-New Super Friends Hour
60,Allen Gregory,7,2011,Fox,4.2,2011,NA,Allen Gregory
61,Alvin and the Chipmunks (1983),102,1983-1990,NBC,6.6,1983,1990,Alvin and the Chipmunks
62,The Alvin Show,26,1961-1962,Syndication,7.2,1961,1962,The Alvin Show
63,The Amazing Chan and the Chan Clan,16,1972,CBS,6.2,1972,NA,The Amazing Chan and the Chan Clan
64,American Dad!,352,2005-present,Fox (2005-2014)TBS (2014-present),7.4,2005,NA,American Dad!
65,American Dragon: Jake Long,52,2005-2007,Disney Channel,6.6,2005,2007,American Dragon: Jake Long
66,American Heroes & Legends,9,1992-1993,Showtime,4.2,1992,1993,American Heroes & Legends
67,Amphibia,58,2019-2022,Disney Channel,8.3,2019,2022,Amphibia
68,The Angry Beavers,62,1997-2001,Nickelodeon,7.2,1997,2001,The Angry Beavers
69,Animals,30,2016-2018,HBO,7.3,2016,2018,Animals
70,Animaniacs (1993),99,1993-1998,Fox Kids (1993-1995)Kids' WB (1995-1998),7.9,1993,1998,Animaniacs
71,Animaniacs (2020),36,2020-2023,Hulu,7.7,2020,2023,Animaniacs
72,Ant-Man,6,2017,Disney XD,6.4,2017,NA,Ant-Man
73,Apollo Gauntlet,6,2017,Adult Swim,6.6,2017,NA,Apollo Gauntlet
74,Apple & Onion,76,2018-2021,Cartoon Network,6.3,2018,2021,Apple & Onion
75,Aqua Teen Hunger Force,139,2000-present,Adult Swim,7.7,2000,NA,Aqua Teen Hunger Force
